timestamp,region,pm25,temperature,humidity
2025-01-07T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,30.66,48.09
2025-01-08T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,25.52,42.89
2025-01-08T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,80.0,23.56,59.34
2025-01-08T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,66.0,21.93,31.25
2025-01-08T15:30:00.000Z,US Diplomatic Post: New Delhi-8118,195.0,27.5,62.35
,location,,32.26,42.13
2025-01-08T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,191.0,31.25,37.9
2025-01-09T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,160.0,20.47,64.9
2025-01-09T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,180.0,30.52,59.12
2025-01-09T10:30:00.000Z,US Diplomatic Post: New Delhi-8118,323.0,30.0,59.64
