date,hour,region,avg_pm25,avg_temp,avg_humidity
,,location,,27.11,50.09
2024-12-31,19,New Delhi-8118,371.0,32.38,59.61
2024-12-31,20,New Delhi-8118,343.0,27.45,38.87
2024-12-31,21,New Delhi-8118,286.0,23.27,33.96
2024-12-31,22,New Delhi-8118,204.0,22.87,58.82
2024-12-31,23,New Delhi-8118,187.0,20.36,55.84
2025-01-01,0,New Delhi-8118,189.0,22.57,65.3
2025-01-01,1,New Delhi-8118,185.0,27.03,42.15
2025-01-01,2,New Delhi-8118,165.0,29.45,40.88
2025-01-01,3,New Delhi-8118,154.0,30.02,44.47
2025-01-01,4,New Delhi-8118,170.0,22.15,30.81
2025-01-01,5,New Delhi-8118,193.0,21.52,44.75
2025-01-01,6,New Delhi-8118,188.0,29.9,36.24
2025-01-01,7,New Delhi-8118,176.0,34.9,50.81
2025-01-01,8,New Delhi-8118,202.0,29.67,34.61
2025-01-01,9,New Delhi-8118,196.0,27.56,67.78
2025-01-01,10,New Delhi-8118,202.0,34.43,56.93
2025-01-01,11,New Delhi-8118,204.0,25.61,34.07
2025-01-01,12,New Delhi-8118,203.0,33.05,48.5
2025-01-01,13,New Delhi-8118,206.0,26.22,55.43
2025-01-01,14,New Delhi-8118,196.0,27.04,53.04
2025-01-01,15,New Delhi-8118,211.0,32.84,67.79
2025-01-01,16,New Delhi-8118,213.0,33.99,36.11
2025-01-01,17,New Delhi-8118,205.0,27.88,47.46
2025-01-01,18,New Delhi-8118,200.0,30.31,36.33
2025-01-01,19,New Delhi-8118,163.0,28.32,53.24
2025-01-01,20,New Delhi-8118,158.0,22.92,44.03
2025-01-01,21,New Delhi-8118,173.0,32.82,61.44
2025-01-01,22,New Delhi-8118,173.0,34.75,39.35
2025-01-01,23,New Delhi-8118,176.0,33.93,34.08
2025-01-02,0,New Delhi-8118,174.0,21.27,55.27
2025-01-02,1,New Delhi-8118,153.0,32.49,35.39
2025-01-02,2,New Delhi-8118,140.0,30.07,32.13
2025-01-02,3,New Delhi-8118,167.0,33.54,55.95
2025-01-02,4,New Delhi-8118,204.0,32.23,35.86
2025-01-02,5,New Delhi-8118,204.0,21.89,43.39
2025-01-02,6,New Delhi-8118,209.0,25.96,57.8
2025-01-02,7,New Delhi-8118,179.0,33.9,34.53
2025-01-02,8,New Delhi-8118,190.0,28.48,47.04
2025-01-02,9,New Delhi-8118,213.0,32.48,47.74
2025-01-02,10,New Delhi-8118,217.0,24.12,59.27
2025-01-02,11,New Delhi-8118,191.0,26.23,58.21
2025-01-02,12,New Delhi-8118,198.0,25.39,58.9
2025-01-02,13,New Delhi-8118,217.0,22.79,42.01
2025-01-02,14,New Delhi-8118,262.0,32.44,39.9
2025-01-02,15,New Delhi-8118,308.0,24.38,55.02
2025-01-02,16,New Delhi-8118,291.0,25.58,67.17
2025-01-02,17,New Delhi-8118,210.0,27.16,36.61
2025-01-02,18,New Delhi-8118,208.0,28.39,31.26
2025-01-02,19,US Diplomatic Post: New Delhi-8118,210.0,24.48,35.4
2025-01-02,20,US Diplomatic Post: New Delhi-8118,213.0,26.25,38.05
2025-01-02,21,US Diplomatic Post: New Delhi-8118,211.0,34.57,45.49
2025-01-02,22,US Diplomatic Post: New Delhi-8118,200.0,28.7,40.89
2025-01-02,23,US Diplomatic Post: New Delhi-8118,220.0,30.12,30.7
2025-01-03,0,US Diplomatic Post: New Delhi-8118,-999.0,20.93,54.48
2025-01-03,1,US Diplomatic Post: New Delhi-8118,-999.0,28.16,59.55
2025-01-03,2,US Diplomatic Post: New Delhi-8118,203.0,26.75,31.21
2025-01-03,3,US Diplomatic Post: New Delhi-8118,180.0,23.04,52.32
2025-01-03,4,US Diplomatic Post: New Delhi-8118,210.0,22.05,58.72
2025-01-03,5,US Diplomatic Post: New Delhi-8118,258.0,34.91,62.7
2025-01-03,6,US Diplomatic Post: New Delhi-8118,349.0,29.72,35.61
2025-01-03,7,US Diplomatic Post: New Delhi-8118,431.0,30.37,37.58
2025-01-03,8,US Diplomatic Post: New Delhi-8118,382.0,24.54,60.51
2025-01-03,9,US Diplomatic Post: New Delhi-8118,330.0,25.7,43.89
2025-01-03,10,US Diplomatic Post: New Delhi-8118,278.0,32.74,49.03
2025-01-03,11,US Diplomatic Post: New Delhi-8118,208.0,31.6,49.57
2025-01-03,12,US Diplomatic Post: New Delhi-8118,213.0,33.63,31.25
2025-01-03,13,US Diplomatic Post: New Delhi-8118,237.0,30.84,55.5
2025-01-03,14,US Diplomatic Post: New Delhi-8118,265.0,24.54,43.76
2025-01-03,15,US Diplomatic Post: New Delhi-8118,261.0,23.01,65.48
2025-01-03,16,US Diplomatic Post: New Delhi-8118,345.0,21.82,31.61
2025-01-03,17,US Diplomatic Post: New Delhi-8118,352.0,30.31,48.81
2025-01-03,18,US Diplomatic Post: New Delhi-8118,333.0,23.48,58.6
2025-01-03,19,US Diplomatic Post: New Delhi-8118,250.0,31.35,55.35
2025-01-03,20,US Diplomatic Post: New Delhi-8118,192.0,30.47,69.91
2025-01-03,21,US Diplomatic Post: New Delhi-8118,149.0,23.21,31.96
2025-01-03,22,US Diplomatic Post: New Delhi-8118,195.0,33.95,58.46
2025-01-03,23,US Diplomatic Post: New Delhi-8118,180.0,23.75,34.75
2025-01-04,0,US Diplomatic Post: New Delhi-8118,190.0,30.07,65.37
2025-01-04,1,US Diplomatic Post: New Delhi-8118,179.0,26.7,50.05
2025-01-04,2,US Diplomatic Post: New Delhi-8118,167.0,30.94,34.59
2025-01-04,3,US Diplomatic Post: New Delhi-8118,169.0,30.99,59.47
2025-01-04,4,US Diplomatic Post: New Delhi-8118,225.0,29.3,55.44
2025-01-04,5,US Diplomatic Post: New Delhi-8118,334.0,21.18,37.02
2025-01-04,6,US Diplomatic Post: New Delhi-8118,416.0,30.94,46.27
2025-01-04,7,US Diplomatic Post: New Delhi-8118,442.0,31.06,39.35
2025-01-04,8,US Diplomatic Post: New Delhi-8118,400.0,22.09,60.21
2025-01-04,9,US Diplomatic Post: New Delhi-8118,370.0,31.61,40.07
2025-01-04,10,US Diplomatic Post: New Delhi-8118,352.0,21.5,60.2
2025-01-04,11,US Diplomatic Post: New Delhi-8118,301.0,24.75,65.69
2025-01-04,12,US Diplomatic Post: New Delhi-8118,288.0,24.96,58.14
2025-01-04,13,US Diplomatic Post: New Delhi-8118,278.0,24.51,54.86
2025-01-04,14,US Diplomatic Post: New Delhi-8118,283.0,20.08,58.43
2025-01-04,15,US Diplomatic Post: New Delhi-8118,313.0,29.3,55.4
2025-01-04,16,US Diplomatic Post: New Delhi-8118,323.0,22.24,33.56
2025-01-04,17,US Diplomatic Post: New Delhi-8118,303.0,33.5,53.67
2025-01-04,18,US Diplomatic Post: New Delhi-8118,308.0,21.71,58.59
2025-01-04,19,New Delhi-8118,254.0,22.45,49.97
2025-01-04,20,New Delhi-8118,219.0,23.92,63.19
2025-01-04,21,New Delhi-8118,-999.0,22.1,62.27
2025-01-04,22,New Delhi-8118,-999.0,23.26,66.4
2025-01-04,23,New Delhi-8118,-999.0,30.08,45.53
2025-01-05,0,New Delhi-8118,-999.0,27.92,43.88
2025-01-05,1,New Delhi-8118,-999.0,28.43,53.76
2025-01-05,2,New Delhi-8118,-999.0,29.58,31.8
2025-01-05,3,New Delhi-8118,-999.0,20.71,35.16
2025-01-05,4,New Delhi-8118,-999.0,20.69,42.93
2025-01-05,5,New Delhi-8118,-999.0,29.99,65.63
2025-01-05,6,New Delhi-8118,-999.0,28.02,53.73
2025-01-05,7,New Delhi-8118,-999.0,20.32,62.04
2025-01-05,8,New Delhi-8118,-999.0,28.93,55.67
2025-01-05,9,New Delhi-8118,-999.0,34.67,36.4
2025-01-05,10,New Delhi-8118,-999.0,26.24,53.7
2025-01-05,11,New Delhi-8118,-999.0,21.11,57.3
2025-01-05,12,New Delhi-8118,-999.0,24.81,33.04
2025-01-05,13,New Delhi-8118,-999.0,25.77,51.19
2025-01-05,14,New Delhi-8118,-999.0,34.45,68.15
2025-01-05,15,New Delhi-8118,-999.0,27.98,47.72
2025-01-05,16,New Delhi-8118,-999.0,31.86,32.45
2025-01-05,17,New Delhi-8118,-999.0,30.83,30.11
2025-01-05,18,New Delhi-8118,-999.0,27.24,36.64
2025-01-05,19,US Diplomatic Post: New Delhi-8118,-999.0,31.78,66.91
2025-01-05,20,US Diplomatic Post: New Delhi-8118,-999.0,26.25,41.42
2025-01-05,21,US Diplomatic Post: New Delhi-8118,-999.0,22.52,63.05
2025-01-05,22,US Diplomatic Post: New Delhi-8118,-999.0,33.46,45.54
2025-01-05,23,US Diplomatic Post: New Delhi-8118,-999.0,32.67,30.26
2025-01-06,0,US Diplomatic Post: New Delhi-8118,-999.0,27.81,42.54
2025-01-06,1,US Diplomatic Post: New Delhi-8118,-999.0,32.81,46.31
2025-01-06,2,US Diplomatic Post: New Delhi-8118,-999.0,22.3,42.1
2025-01-06,3,US Diplomatic Post: New Delhi-8118,-999.0,32.4,40.15
2025-01-06,4,US Diplomatic Post: New Delhi-8118,-999.0,34.66,38.24
2025-01-06,5,US Diplomatic Post: New Delhi-8118,-999.0,25.66,44.0
2025-01-06,6,US Diplomatic Post: New Delhi-8118,-999.0,33.92,48.5
2025-01-06,7,US Diplomatic Post: New Delhi-8118,-999.0,27.08,36.59
2025-01-06,8,US Diplomatic Post: New Delhi-8118,-999.0,29.17,41.36
2025-01-06,9,US Diplomatic Post: New Delhi-8118,-999.0,28.45,39.99
2025-01-06,10,US Diplomatic Post: New Delhi-8118,-999.0,29.11,54.13
2025-01-06,11,US Diplomatic Post: New Delhi-8118,-999.0,23.63,30.92
2025-01-06,12,US Diplomatic Post: New Delhi-8118,-999.0,31.73,67.28
2025-01-06,13,US Diplomatic Post: New Delhi-8118,-999.0,29.21,34.46
2025-01-06,14,US Diplomatic Post: New Delhi-8118,-999.0,23.38,46.39
2025-01-06,15,US Diplomatic Post: New Delhi-8118,-999.0,32.79,58.2
2025-01-06,16,US Diplomatic Post: New Delhi-8118,-999.0,32.24,58.96
2025-01-06,17,US Diplomatic Post: New Delhi-8118,-999.0,34.86,46.99
2025-01-06,18,US Diplomatic Post: New Delhi-8118,-999.0,33.88,54.54
2025-01-06,19,US Diplomatic Post: New Delhi-8118,-999.0,32.0,31.36
2025-01-06,20,US Diplomatic Post: New Delhi-8118,-999.0,20.48,68.4
2025-01-06,21,US Diplomatic Post: New Delhi-8118,-999.0,32.17,37.16
2025-01-06,22,US Diplomatic Post: New Delhi-8118,-999.0,26.04,39.96
2025-01-06,23,US Diplomatic Post: New Delhi-8118,-999.0,30.25,46.71
2025-01-07,0,US Diplomatic Post: New Delhi-8118,-999.0,32.91,44.54
2025-01-07,1,US Diplomatic Post: New Delhi-8118,-999.0,32.66,44.02
2025-01-07,2,US Diplomatic Post: New Delhi-8118,-999.0,29.55,33.23
2025-01-07,3,US Diplomatic Post: New Delhi-8118,-999.0,25.95,45.96
2025-01-07,4,US Diplomatic Post: New Delhi-8118,-999.0,24.73,63.09
2025-01-07,5,US Diplomatic Post: New Delhi-8118,-999.0,30.76,44.25
2025-01-07,6,US Diplomatic Post: New Delhi-8118,-999.0,34.18,37.03
2025-01-07,7,US Diplomatic Post: New Delhi-8118,-999.0,21.4,34.53
2025-01-07,8,US Diplomatic Post: New Delhi-8118,-999.0,20.19,59.97
2025-01-07,9,US Diplomatic Post: New Delhi-8118,-999.0,33.05,49.38
2025-01-07,10,US Diplomatic Post: New Delhi-8118,-999.0,23.79,63.53
2025-01-07,11,US Diplomatic Post: New Delhi-8118,-999.0,23.93,38.32
2025-01-07,12,US Diplomatic Post: New Delhi-8118,-999.0,25.95,45.29
2025-01-07,13,US Diplomatic Post: New Delhi-8118,-999.0,21.86,51.59
2025-01-07,14,US Diplomatic Post: New Delhi-8118,-999.0,27.46,56.6
2025-01-07,15,US Diplomatic Post: New Delhi-8118,-999.0,31.6,38.86
2025-01-07,16,US Diplomatic Post: New Delhi-8118,-999.0,22.97,56.11
2025-01-07,17,US Diplomatic Post: New Delhi-8118,-999.0,32.85,63.93
2025-01-07,18,US Diplomatic Post: New Delhi-8118,-999.0,32.7,43.78
2025-01-07,19,US Diplomatic Post: New Delhi-8118,-999.0,29.71,43.07
2025-01-07,20,US Diplomatic Post: New Delhi-8118,-999.0,23.79,63.8
2025-01-07,21,US Diplomatic Post: New Delhi-8118,-999.0,30.67,45.4
2025-01-07,22,US Diplomatic Post: New Delhi-8118,-999.0,30.85,34.13
2025-01-07,23,US Diplomatic Post: New Delhi-8118,-999.0,30.66,48.09
2025-01-08,0,US Diplomatic Post: New Delhi-8118,-999.0,34.81,57.28
2025-01-08,1,US Diplomatic Post: New Delhi-8118,-999.0,31.72,56.0
2025-01-08,2,US Diplomatic Post: New Delhi-8118,-999.0,21.56,32.57
2025-01-08,3,US Diplomatic Post: New Delhi-8118,-999.0,25.52,42.89
2025-01-08,4,US Diplomatic Post: New Delhi-8118,-999.0,21.62,32.15
2025-01-08,5,US Diplomatic Post: New Delhi-8118,-999.0,24.04,60.32
2025-01-08,6,US Diplomatic Post: New Delhi-8118,99.0,34.29,34.47
2025-01-08,7,US Diplomatic Post: New Delhi-8118,80.0,23.56,59.34
2025-01-08,8,US Diplomatic Post: New Delhi-8118,81.0,31.03,59.58
2025-01-08,9,US Diplomatic Post: New Delhi-8118,81.0,34.63,42.84
2025-01-08,10,US Diplomatic Post: New Delhi-8118,70.0,24.43,57.63
2025-01-08,11,US Diplomatic Post: New Delhi-8118,66.0,21.93,31.25
2025-01-08,12,US Diplomatic Post: New Delhi-8118,86.0,20.73,45.76
2025-01-08,13,US Diplomatic Post: New Delhi-8118,117.0,26.62,39.18
2025-01-08,14,US Diplomatic Post: New Delhi-8118,129.0,32.99,53.13
