date,region,pm25,temperature,humidity
2024-12-31,New Delhi-8118,278.2,25.27,49.42
2025-01-01,New Delhi-8118,187.54,29.12,46.9
2025-01-02,New Delhi-8118,207.11,27.83,47.02
2025-01-02,US Diplomatic Post: New Delhi-8118,210.8,28.82,38.11
2025-01-03,US Diplomatic Post: New Delhi-8118,158.46,27.54,49.19
2025-01-04,New Delhi-8118,-504.8,24.36,57.47
2025-01-04,US Diplomatic Post: New Delhi-8118,296.89,26.71,51.91
2025-01-05,New Delhi-8118,-999.0,27.34,46.91
2025-01-05,US Diplomatic Post: New Delhi-8118,-999.0,29.34,49.44
2025-01-06,US Diplomatic Post: New Delhi-8118,-999.0,29.42,45.64
2025-01-07,US Diplomatic Post: New Delhi-8118,-999.0,28.09,47.85
2025-01-08,US Diplomatic Post: New Delhi-8118,-131.21,27.74,50.24
2025-01-09,US Diplomatic Post: New Delhi-8118,292.67,28.05,49.12
2025-01-10,US Diplomatic Post: New Delhi-8118,165.25,25.0,53.22
2025-01-11,US Diplomatic Post: New Delhi-8118,157.42,28.66,50.91
2025-01-12,New Delhi-8118,139.4,26.4,46.84
2025-01-12,US Diplomatic Post: New Delhi-8118,157.95,26.48,55.98
2025-01-13,New Delhi-8118,120.95,27.31,47.03
2025-01-13,US Diplomatic Post: New Delhi-8118,121.4,27.83,51.03
2025-01-14,US Diplomatic Post: New Delhi-8118,203.29,29.04,45.32
2025-01-15,US Diplomatic Post: New Delhi-8118,177.92,27.48,50.74
2025-01-16,US Diplomatic Post: New Delhi-8118,118.08,27.66,52.84
2025-01-17,US Diplomatic Post: New Delhi-8118,136.96,27.64,47.65
2025-01-18,US Diplomatic Post: New Delhi-8118,184.75,28.79,51.38
2025-01-19,US Diplomatic Post: New Delhi-8118,165.33,26.6,50.08
2025-01-20,New Delhi-8118,156.8,27.66,43.83
2025-01-20,US Diplomatic Post: New Delhi-8118,-87.42,28.55,53.02
2025-01-21,New Delhi-8118,129.95,28.05,46.57
2025-01-21,US Diplomatic Post: New Delhi-8118,136.6,27.9,52.16
2025-01-22,US Diplomatic Post: New Delhi-8118,126.67,27.36,45.03
2025-01-23,US Diplomatic Post: New Delhi-8118,101.17,29.23,49.75
2025-01-24,US Diplomatic Post: New Delhi-8118,88.29,25.89,51.38
2025-01-25,US Diplomatic Post: New Delhi-8118,71.46,27.42,51.01
2025-01-26,US Diplomatic Post: New Delhi-8118,95.88,27.04,49.61
2025-01-27,US Diplomatic Post: New Delhi-8118,109.38,29.62,48.09
2025-01-28,US Diplomatic Post: New Delhi-8118,136.04,27.58,49.03
2025-01-29,US Diplomatic Post: New Delhi-8118,233.88,28.58,48.67
2025-01-30,US Diplomatic Post: New Delhi-8118,74.96,25.72,47.7
2025-01-31,US Diplomatic Post: New Delhi-8118,47.71,27.46,47.0
2025-02-01,US Diplomatic Post: New Delhi-8118,155.54,28.3,50.45
2025-02-02,US Diplomatic Post: New Delhi-8118,177.0,28.2,46.48
2025-02-03,US Diplomatic Post: New Delhi-8118,106.33,27.45,53.88
2025-02-04,US Diplomatic Post: New Delhi-8118,163.29,29.29,47.76
2025-02-05,US Diplomatic Post: New Delhi-8118,104.17,25.9,51.27
2025-02-06,US Diplomatic Post: New Delhi-8118,83.08,27.95,49.6
2025-02-07,US Diplomatic Post: New Delhi-8118,65.79,27.17,48.72
2025-02-08,US Diplomatic Post: New Delhi-8118,86.25,26.03,48.93
2025-02-09,US Diplomatic Post: New Delhi-8118,118.54,28.91,51.44
2025-02-10,US Diplomatic Post: New Delhi-8118,123.88,28.33,51.48
2025-02-11,US Diplomatic Post: New Delhi-8118,115.38,27.04,50.85
2025-02-12,US Diplomatic Post: New Delhi-8118,62.04,28.33,46.06
2025-02-13,US Diplomatic Post: New Delhi-8118,11.12,28.36,52.45
2025-02-14,US Diplomatic Post: New Delhi-8118,70.92,27.56,49.39
2025-02-15,US Diplomatic Post: New Delhi-8118,109.67,27.57,50.68
2025-02-16,US Diplomatic Post: New Delhi-8118,124.75,27.67,53.12
2025-02-17,US Diplomatic Post: New Delhi-8118,91.29,28.82,51.33
2025-02-18,US Diplomatic Post: New Delhi-8118,81.67,26.25,47.61
2025-02-19,US Diplomatic Post: New Delhi-8118,63.83,25.18,44.55
2025-02-20,US Diplomatic Post: New Delhi-8118,58.96,27.59,53.76
2025-02-21,US Diplomatic Post: New Delhi-8118,85.5,26.94,48.76
2025-02-22,US Diplomatic Post: New Delhi-8118,63.96,26.56,52.28
2025-02-23,US Diplomatic Post: New Delhi-8118,26.17,28.28,52.65
2025-02-24,US Diplomatic Post: New Delhi-8118,87.75,28.19,49.19
2025-02-25,US Diplomatic Post: New Delhi-8118,83.96,29.39,50.12
2025-02-26,US Diplomatic Post: New Delhi-8118,110.08,28.92,48.55
