timestamp,region,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore
2024-12-31 22:30:00+00:00,New Delhi-8118,204.0,22.87,58.82,0.66,-1.06,0.8
2025-01-01 02:30:00+00:00,New Delhi-8118,165.0,29.45,40.88,0.48,0.44,-0.77
2025-01-01 06:30:00+00:00,New Delhi-8118,188.0,29.9,36.24,0.59,0.54,-1.18
2025-01-01 10:30:00+00:00,New Delhi-8118,202.0,34.43,56.93,0.65,1.58,0.64
2025-01-01 14:30:00+00:00,New Delhi-8118,196.0,27.04,53.04,0.63,-0.11,0.29
2025-01-01 18:30:00+00:00,New Delhi-8118,200.0,30.31,36.33,0.64,0.64,-1.17
2025-01-01 21:30:00+00:00,New Delhi-8118,173.0,32.82,61.44,0.52,1.21,1.03
2025-01-02 01:30:00+00:00,New Delhi-8118,153.0,32.49,35.39,0.43,1.13,-1.25
2025-01-02 05:30:00+00:00,New Delhi-8118,204.0,21.89,43.39,0.66,-1.29,-0.55
2025-01-02 09:30:00+00:00,New Delhi-8118,213.0,32.48,47.74,0.7,1.13,-0.17
2025-01-02 13:30:00+00:00,New Delhi-8118,217.0,22.79,42.01,0.72,-1.08,-0.67
2025-01-02 17:30:00+00:00,New Delhi-8118,210.0,27.16,36.61,0.69,-0.08,-1.14
2025-01-02 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,213.0,26.25,38.05,0.7,-0.29,-1.02
2025-01-03 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,20.93,54.48,-4.86,-1.5,0.42
2025-01-03 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,210.0,22.05,58.72,0.69,-1.25,0.79
2025-01-03 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,382.0,24.54,60.51,1.48,-0.68,0.95
2025-01-03 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,213.0,33.63,31.25,0.7,1.39,-1.61
2025-01-03 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,345.0,21.82,31.61,1.31,-1.3,-1.58
