timestamp,region,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore,date,hour,pm25_rolling_avg_3,pm25_lag_1,pm25_rate_of_change
2024-12-31 19:30:00+00:00,New Delhi-8118,371.0,32.38,59.61,1.43,1.11,0.87,2024-12-31,19,371.0,,
2024-12-31 20:30:00+00:00,New Delhi-8118,343.0,27.45,38.87,1.3,-0.02,-0.95,2024-12-31,20,357.0,371.0,-28.0
2024-12-31 21:30:00+00:00,New Delhi-8118,286.0,23.27,33.96,1.04,-0.97,-1.38,2024-12-31,21,333.33,343.0,-57.0
2024-12-31 22:30:00+00:00,New Delhi-8118,204.0,22.87,58.82,0.66,-1.06,0.8,2024-12-31,22,277.67,286.0,-82.0
2024-12-31 23:30:00+00:00,New Delhi-8118,187.0,20.36,55.84,0.58,-1.63,0.54,2024-12-31,23,225.67,204.0,-17.0
2025-01-01 00:30:00+00:00,New Delhi-8118,189.0,22.57,65.3,0.59,-1.13,1.37,2025-01-01,0,193.33,187.0,2.0
2025-01-01 01:30:00+00:00,New Delhi-8118,185.0,27.03,42.15,0.58,-0.11,-0.66,2025-01-01,1,187.0,189.0,-4.0
2025-01-01 02:30:00+00:00,New Delhi-8118,165.0,29.45,40.88,0.48,0.44,-0.77,2025-01-01,2,179.67,185.0,-20.0
2025-01-01 03:30:00+00:00,New Delhi-8118,154.0,30.02,44.47,0.43,0.57,-0.46,2025-01-01,3,168.0,165.0,-11.0
2025-01-01 04:30:00+00:00,New Delhi-8118,170.0,22.15,30.81,0.51,-1.23,-1.65,2025-01-01,4,163.0,154.0,16.0
2025-01-01 05:30:00+00:00,New Delhi-8118,193.0,21.52,44.75,0.61,-1.37,-0.43,2025-01-01,5,172.33,170.0,23.0
2025-01-01 06:30:00+00:00,New Delhi-8118,188.0,29.9,36.24,0.59,0.54,-1.18,2025-01-01,6,183.67,193.0,-5.0
2025-01-01 07:30:00+00:00,New Delhi-8118,176.0,34.9,50.81,0.53,1.68,0.1,2025-01-01,7,185.67,188.0,-12.0
2025-01-01 08:30:00+00:00,New Delhi-8118,202.0,29.67,34.61,0.65,0.49,-1.32,2025-01-01,8,188.67,176.0,26.0
2025-01-01 09:30:00+00:00,New Delhi-8118,196.0,27.56,67.78,0.63,0.01,1.59,2025-01-01,9,191.33,202.0,-6.0
2025-01-01 10:30:00+00:00,New Delhi-8118,202.0,34.43,56.93,0.65,1.58,0.64,2025-01-01,10,200.0,196.0,6.0
2025-01-01 11:30:00+00:00,New Delhi-8118,204.0,25.61,34.07,0.66,-0.44,-1.37,2025-01-01,11,200.67,202.0,2.0
2025-01-01 12:30:00+00:00,New Delhi-8118,203.0,33.05,48.5,0.66,1.26,-0.1,2025-01-01,12,203.0,204.0,-1.0
2025-01-01 13:30:00+00:00,New Delhi-8118,206.0,26.22,55.43,0.67,-0.3,0.5,2025-01-01,13,204.33,203.0,3.0
2025-01-01 14:30:00+00:00,New Delhi-8118,196.0,27.04,53.04,0.63,-0.11,0.29,2025-01-01,14,201.67,206.0,-10.0
2025-01-01 15:30:00+00:00,New Delhi-8118,211.0,32.84,67.79,0.69,1.21,1.59,2025-01-01,15,204.33,196.0,15.0
2025-01-01 16:30:00+00:00,New Delhi-8118,213.0,33.99,36.11,0.7,1.48,-1.19,2025-01-01,16,206.67,211.0,2.0
2025-01-01 17:30:00+00:00,New Delhi-8118,205.0,27.88,47.46,0.67,0.08,-0.19,2025-01-01,17,209.67,213.0,-8.0
2025-01-01 18:30:00+00:00,New Delhi-8118,200.0,30.31,36.33,0.64,0.64,-1.17,2025-01-01,18,206.0,205.0,-5.0
2025-01-01 19:30:00+00:00,New Delhi-8118,163.0,28.32,53.24,0.47,0.18,0.31,2025-01-01,19,189.33,200.0,-37.0
2025-01-01 20:30:00+00:00,New Delhi-8118,158.0,22.92,44.03,0.45,-1.05,-0.49,2025-01-01,20,173.67,163.0,-5.0
2025-01-01 21:30:00+00:00,New Delhi-8118,173.0,32.82,61.44,0.52,1.21,1.03,2025-01-01,21,164.67,158.0,15.0
2025-01-01 22:30:00+00:00,New Delhi-8118,173.0,34.75,39.35,0.52,1.65,-0.9,2025-01-01,22,168.0,173.0,0.0
2025-01-01 23:30:00+00:00,New Delhi-8118,176.0,33.93,34.08,0.53,1.46,-1.37,2025-01-01,23,174.0,173.0,3.0
2025-01-02 00:30:00+00:00,New Delhi-8118,174.0,21.27,55.27,0.52,-1.43,0.49,2025-01-02,0,174.33,176.0,-2.0
2025-01-02 01:30:00+00:00,New Delhi-8118,153.0,32.49,35.39,0.43,1.13,-1.25,2025-01-02,1,167.67,174.0,-21.0
2025-01-02 02:30:00+00:00,New Delhi-8118,140.0,30.07,32.13,0.37,0.58,-1.54,2025-01-02,2,155.67,153.0,-13.0
2025-01-02 03:30:00+00:00,New Delhi-8118,167.0,33.54,55.95,0.49,1.37,0.55,2025-01-02,3,153.33,140.0,27.0
2025-01-02 04:30:00+00:00,New Delhi-8118,204.0,32.23,35.86,0.66,1.07,-1.21,2025-01-02,4,170.33,167.0,37.0
2025-01-02 05:30:00+00:00,New Delhi-8118,204.0,21.89,43.39,0.66,-1.29,-0.55,2025-01-02,5,191.67,204.0,0.0
2025-01-02 06:30:00+00:00,New Delhi-8118,209.0,25.96,57.8,0.69,-0.36,0.71,2025-01-02,6,205.67,204.0,5.0
2025-01-02 07:30:00+00:00,New Delhi-8118,179.0,33.9,34.53,0.55,1.46,-1.33,2025-01-02,7,197.33,209.0,-30.0
2025-01-02 08:30:00+00:00,New Delhi-8118,190.0,28.48,47.04,0.6,0.22,-0.23,2025-01-02,8,192.67,179.0,11.0
2025-01-02 09:30:00+00:00,New Delhi-8118,213.0,32.48,47.74,0.7,1.13,-0.17,2025-01-02,9,194.0,190.0,23.0
2025-01-02 10:30:00+00:00,New Delhi-8118,217.0,24.12,59.27,0.72,-0.78,0.84,2025-01-02,10,206.67,213.0,4.0
