timestamp,region,pm25,temperature,humidity,date,hour,pm25_zscore,temperature_zscore,humidity_zscore,pm25_rolling_avg_3,pm25_lag_1,pm25_rate_of_change
2024-12-31 19:30:00+00:00,New Delhi-8118,371.0,32.38,59.61,2024-12-31,19,1.43,1.11,0.87,371.0,,
2024-12-31 20:30:00+00:00,New Delhi-8118,343.0,27.45,38.87,2024-12-31,20,1.3,-0.02,-0.95,357.0,371.0,-28.0
2024-12-31 21:30:00+00:00,New Delhi-8118,286.0,23.27,33.96,2024-12-31,21,1.04,-0.97,-1.38,333.33,343.0,-57.0
2024-12-31 22:30:00+00:00,New Delhi-8118,204.0,22.87,58.82,2024-12-31,22,0.66,-1.06,0.8,277.67,286.0,-82.0
2024-12-31 23:30:00+00:00,New Delhi-8118,187.0,20.36,55.84,2024-12-31,23,0.58,-1.63,0.54,225.67,204.0,-17.0
2025-01-01 00:30:00+00:00,New Delhi-8118,189.0,22.57,65.3,2025-01-01,0,0.59,-1.13,1.37,193.33,187.0,2.0
2025-01-01 01:30:00+00:00,New Delhi-8118,185.0,27.03,42.15,2025-01-01,1,0.58,-0.11,-0.66,187.0,189.0,-4.0
2025-01-01 02:30:00+00:00,New Delhi-8118,165.0,29.45,40.88,2025-01-01,2,0.48,0.44,-0.77,179.67,185.0,-20.0
2025-01-01 03:30:00+00:00,New Delhi-8118,154.0,30.02,44.47,2025-01-01,3,0.43,0.57,-0.46,168.0,165.0,-11.0
2025-01-01 04:30:00+00:00,New Delhi-8118,170.0,22.15,30.81,2025-01-01,4,0.51,-1.23,-1.65,163.0,154.0,16.0
2025-01-01 05:30:00+00:00,New Delhi-8118,193.0,21.52,44.75,2025-01-01,5,0.61,-1.37,-0.43,172.33,170.0,23.0
2025-01-01 06:30:00+00:00,New Delhi-8118,188.0,29.9,36.24,2025-01-01,6,0.59,0.54,-1.18,183.67,193.0,-5.0
2025-01-01 07:30:00+00:00,New Delhi-8118,176.0,34.9,50.81,2025-01-01,7,0.53,1.68,0.1,185.67,188.0,-12.0
2025-01-01 08:30:00+00:00,New Delhi-8118,202.0,29.67,34.61,2025-01-01,8,0.65,0.49,-1.32,188.67,176.0,26.0
2025-01-01 09:30:00+00:00,New Delhi-8118,196.0,27.56,67.78,2025-01-01,9,0.63,0.01,1.59,191.33,202.0,-6.0
2025-01-01 10:30:00+00:00,New Delhi-8118,202.0,34.43,56.93,2025-01-01,10,0.65,1.58,0.64,200.0,196.0,6.0
2025-01-01 11:30:00+00:00,New Delhi-8118,204.0,25.61,34.07,2025-01-01,11,0.66,-0.44,-1.37,200.67,202.0,2.0
2025-01-01 12:30:00+00:00,New Delhi-8118,203.0,33.05,48.5,2025-01-01,12,0.66,1.26,-0.1,203.0,204.0,-1.0
2025-01-01 13:30:00+00:00,New Delhi-8118,206.0,26.22,55.43,2025-01-01,13,0.67,-0.3,0.5,204.33,203.0,3.0
2025-01-01 14:30:00+00:00,New Delhi-8118,196.0,27.04,53.04,2025-01-01,14,0.63,-0.11,0.29,201.67,206.0,-10.0
2025-01-01 15:30:00+00:00,New Delhi-8118,211.0,32.84,67.79,2025-01-01,15,0.69,1.21,1.59,204.33,196.0,15.0
2025-01-01 16:30:00+00:00,New Delhi-8118,213.0,33.99,36.11,2025-01-01,16,0.7,1.48,-1.19,206.67,211.0,2.0
2025-01-01 17:30:00+00:00,New Delhi-8118,205.0,27.88,47.46,2025-01-01,17,0.67,0.08,-0.19,209.67,213.0,-8.0
2025-01-01 18:30:00+00:00,New Delhi-8118,200.0,30.31,36.33,2025-01-01,18,0.64,0.64,-1.17,206.0,205.0,-5.0
2025-01-01 19:30:00+00:00,New Delhi-8118,163.0,28.32,53.24,2025-01-01,19,0.47,0.18,0.31,189.33,200.0,-37.0
